Safari & Cyclone UEC List (Updated 12/16/2010)

UEC    Description
FA81   UEC_SLFT_UNREC_ERR_COUNT_THRESHOLD
FA82   UEC_SLFT_CMDTO_ERR_COUNT_THRESHOLD
2A83   UEC_SLFT_GLIST_ERR_COUNT_THRESHOLD
2A84   UEC_SLFT_ZERO_DISK_TIME_THRESHOLD
1A85   UEC_SLFT_RECOV_ERR
FA85   UEC_SLFT_UNREC_ERR
4A85   UEC_SLFT_CMDTO_ERR
2A85   UEC_SLFT_SERVO_ERR
1A86   UEC_SLFT_SERVO_ERR_COUNT_THRESHOLD
1AFE   UEC_SMART_THERMAL_SENSE_TRIPPED_NO_SNS
2AFE   UEC_SMART_THERMAL_SENSE_TRIPPED_RECOVERED
3AFE   UEC_SMART_THERMAL_SENSE_TRIPPED_UNIT_ATN
1AFF   UEC_SMART_TEST_WARNING_NO_SNS
2AFF   UEC_SMART_TEST_WARNING_RECOVERED
3AFF   UEC_SMART_TEST_WARNING_UNIT_ATN
FC01   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_01
FC02   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_02
FC03   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_03
FC04   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_04
FC05   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_05
FC06   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_06
FC07   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_07
FC08   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_08
FC09   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_09
FC0A   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_0A
FC0B   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_0B
FC0C   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_0C
FC0D   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_0D
FC0E   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_0E
FC0F   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_0F
FC10   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_10
FC11   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_11
FC12   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_12
FC13   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_13
FC14   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_14
FC15   UEC_RA_UNABLE_TO_READ_RID_OR_FID_NUM_15
